product_id,Category,Title,Price,Image URL,Key Features,Specifications,Product URL
0,Televisions,"108 cm (43 inches) 4K Ultra HD Smart LED Google TV TH-43MX660DX (Black, 4K Studio Color Engine, HDR 10+, Dolby Digital, Chromecast Built-In)","₹31,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-43mx660dxrev.jpg,"4K Studio Color Engine, 4K HDR 10+, Hexa Chroma Drive, Dolby Digital, Google Voice Assistant, Chromecast Built-in, Slim Bezel, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/mx660-google-tv-4k-hrd-tv-43-inches.html
5,Televisions,"108 cm (43 inches) 4K Ultra HD Smart LED Google TV TH-43MX740DX (Black, 4K Color Engine, HDR 10, Dolby Digital, Chromecast Built-In)","₹39,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-43mx740dx_1.jpg,"4K Color Engine, 4K HDR 10, Hexa Chroma Drive, Dolby Digital, Google Voice Assistant, Chromecast Built-in, Bezel-less, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/mx740-google-tv-4k-hdr-tv-43-inches.html
10,Televisions,"108 cm (43 inches) Full HD Smart LED TV TH-43MS550DX (Black, Vivid Digital Pro, Dolby Digital, Audio Booster+)","₹25,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-43ms550dxrev.jpg,"FHD, Vivid Didital Pro, AccuView Display, Audio Booster +, Dolby Digital, Bezel-less, , ",{},https://store.in.panasonic.com/televisions/smart/ms550-smart-tv-fhd-tv-43-inches.html
15,Televisions,"108 cm (43 inches) Full HD Smart LED Google TV TH-43MS660DX (Black, Dolby Digital, Audio Booster+, Google Assistant)","₹27,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-43ms660dx_1.jpg,"2K HDR, Wide Viewing Angle, Audio Booster +, Dolby Digital, Google Assistant, Slim Bezel, Chromecast Built-in, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/ms660-google-tv-2k-hrd-tv-43-inches.html
20,Televisions,"139 cm (55 inches) 4K Ultra HD Smart LED Google TV TH-55MX660DX (Black, 4K Studio Color Engine, HDR 10+, Dolby Digital, Chromecast Built-In)","₹46,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-55mx660dxrev.jpg,"4K Studio Color Engine, 4K HDR 10+, Hexa Chroma Drive, Dolby Digital, Google Voice Assistant, Chromecast Built-in, Slim Bezel, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/mx660-google-tv-4k-hrd-tv-55-inches.html
25,Televisions,"139 cm (55 inches) 4K Ultra HD Smart LED Google TV TH-55MX740DX (Black, 4K Color Engine, HDR 10, Dolby Digital, Chromecast Built-In)","₹57,490",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-55mx740dx_1.jpg,"4K Color Engine, 4K HDR 10, Hexa Chroma Drive, Dolby Digital, Google Voice Assistant, Chromecast Built-in, Bezel-less, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/mx740-google-tv-4k-hdr-tv-55-inches.html
30,Televisions,"80 cm (32 inches) HD Smart LED TV TH-32MS550DX (Black, Vivid Digital Pro, Dolby Digital, Audio Booster+)","₹15,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-32ms550dx_1.jpg,"HD, Vivid Didital Pro, AccuView Display, Audio Booster +, Dolby Digital, Bezel-less, , ",{},https://store.in.panasonic.com/televisions/smart/ms550-smart-tv-hd-tv-32-inches.html
35,Televisions,"80 cm (32 inches) HD Ready Smart LED Google TV TH32MS660DX (Black, HDR, Dolby Digital, Audio Booster+, Google Assistant)","₹15,990",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th32ms660dxrev.jpg,"2K HDR, Wide Viewing Angle, Audio Booster +, Dolby Digital, Google Assistant, Slim Bezel, Chromecast Built-in, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/ms660-google-tv-2k-hrd-tv-32-inches.html
40,Televisions,"139 cm (55 inches) 4K Ultra HD Smart LED Google TV TH-55MX750DX (Black, 4K Colour Engine, Home Theatre Built in, Google Assistant)","₹62,490",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/5/5/55mx750dx.jpg,"4K Color Engine, HDR 10, Home Theatre Built in, DTS, Bezel-less, Chromecast Built-in & I cast /Air screen, Ok Google, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/mx750-google-tv-4k-hrd-tv-55-inches.html
45,Televisions,"108 cm (43 inches) 4K Ultra HD Smart LED Google TV TH-43MX750DX (Black, 4K Colour Engine, Home Theatre Built in, Google Assistant)","₹44,490",https://store.in.panasonic.com/media/catalog/product/cache/7fc2a3fe77c40f27b75b2c9e63d22798/t/h/th-43mx750dx_1.jpg,"4K Color Engine, HDR 10, Home Theatre Built in, DTS, Bezel-less, Chromecast Built-in & I cast /Air screen, Ok Google, ",{},https://store.in.panasonic.com/televisions/4k-google-tv/mx750-google-tv-4k-hrd-tv-43-inches.html
